student,birth_year,gender,major_1,major_2,edu_goal,hs_repeat,uni_repeat,hs_grad,hs_dip,hs_mention,edu_affect
2,1989,F,sde,,a,0,0,2007,L,,b
4,1992,F,sde,,i,0,0,2010,L,P,c
5,1990,F,sde,,f,2,1,2010,L,P,b
6,1991,F,sde,,f,0,0,2009,ES,B,c
7,1991,F,sde,,a,0,2,2009,L,AB,d
8,1992,F,sde,,f,0,1,2010,ES,AB,c
9,1992,F,sde,,d,0,1,2009,L,AB,b
10,1968,M,sde,,a,2,1,1989,,P,d
11,1991,F,sde,,d,1,1,2010,ES,AB,c
12,1991,F,sde,,f,1,1,2010,L,AB,d
13,1962,F,sde,,d,1,0,1984,D,P,d
14,1991,M,sde,,d,0,2,2009,ES,AB,c
15,1993,M,sde,,f,0,0,2011,S,P,c
16,1992,F,sde,,f,0,1,2010,ES,,d
17,1987,F,sde,,f,,1,2006,L,,d
18,1992,F,sde,,f,1,0,2011,ST2S,B,b
20,1993,F,sde,,c,,,2010,L,B,c
21,1994,F,sde,,f,0,0,2011,L,P,c
22,1992,F,sde,,f,1,0,2011,S,AB,d
23,1991,F,sde,soc,h,1,0,2010,S,B,a
24,1993,F,sde,,h,0,0,2011,S,P,d
26,1993,F,sde,,f,0,0,2011,S,B,c
27,1990,F,sde,,g,0,0,2008,S,B,d
28,1992,F,sde,,f,0,0,2010,L,B,d
29,1992,F,sde,,f,0,1,2010,S,AB,d
30,1987,M,sde,,f,1,0,2006,ES,P,b
